,0
152858,6
152859,4
152860,6
152861,6
152863,1
152864,7
152865,6
152866,9
152867,21
152868,6
152869,6
152870,14
152871,6
152872,11
152874,6
152875,9
152876,10
152877,6
152878,6
152879,10
152880,4
152881,13
152882,4
152883,10
152885,10
152886,5
152887,5
152888,13
152889,7
152890,8
152891,3
152892,9
152893,8
152894,9
152896,24
152897,2
152898,10
152899,10
152900,14
152901,5
152902,3
152903,10
152904,5
152905,10
152906,10
152908,6
152909,4
152910,4
152911,13
152912,16
152913,5
152914,3
152915,3
152916,10
152917,7
152919,2
152920,12
152921,14
152922,9
152923,11
152924,7
152925,8
152926,14
152927,8
152928,9
152930,16
152931,16
152932,12
152933,8
152934,11
152935,8
152936,9
152937,14
152938,7
152939,14
152941,36
152942,16
152943,10
152944,13
152945,10
152946,10
152947,8
152948,10
152949,13
152950,16
152952,15
152953,13
152954,8
152955,8
152956,8
152957,9
152958,8
152959,8
152960,10
152961,9
152963,8
152964,13
152965,7
152966,12
152967,6
152968,3
152969,7
152970,8
152971,10
152972,18
152975,9
152976,15
152977,12
152978,18
152979,18
152980,11
152981,11
152982,15
152983,7
152985,26
152986,9
152987,12
152988,10
152989,11
152990,7
152991,5
152992,4
152993,9
152994,26
152996,12
152997,6
152998,7
152999,11
153000,6
153001,9
153002,7
153003,7
153004,5
153005,5
153007,9
153008,10
153009,15
153010,4
153011,4
153012,7
153013,5
153014,7
153015,6
153016,3
153017,9
153019,5
153020,5
153021,7
153022,5
153023,2
153024,10
153025,2
153026,5
153027,7
153028,6
153030,7
153031,9
153032,7
153033,6
153034,9
153035,6
153036,9
153037,13
153038,14
153039,11
153041,18
153042,21
153043,19
153044,20
153045,20
153046,18
153047,14
153048,21
153049,15
153050,22
153052,16
153053,13
153054,12
153055,17
153056,12
153057,8
153058,11
153059,12
153060,10
153061,15
153063,12
153064,15
153065,15
153066,8
153067,11
153068,14
153069,11
153070,12
153071,7
153072,6
153074,4
153075,14
153076,4
153077,12
153078,8
153079,8
153080,5
153081,6
153082,3
153083,9
153085,10
153086,9
153087,8
153088,8
153089,5
153090,10
153091,5
153092,9
153093,5
153094,8
153096,13
153097,17
153098,9
153099,6
153100,22
153101,10
153102,6
153103,8
153104,8
153105,8
153107,9
153108,10
153109,10
153110,11
153111,10
153112,15
153113,10
153114,9
153115,19
153116,18
153118,18
153119,20
153120,19
153121,19
153122,17
153123,15
153124,18
153125,14
153126,19
153127,14
153128,10
153130,13
153131,11
153132,15
153133,8
153134,12
153135,9
153136,10
153137,9
153138,7
153139,11
153141,10
153142,9
153143,8
153144,7
153145,7
153146,8
153147,6
153148,5
153149,4
153150,8
153152,11
153153,3
153154,6
153155,6
153156,9
153157,5
153158,19
153159,21
153160,6
153161,20
153163,15
