region,date,mean,median,lower_90,upper_90,lower_50,upper_50
CO,5/15/20,1.017206879,1.015083372,0.874527778,1.131989582,0.966923193,1.062095005
CO,5/16/20,1.028971232,1.024651527,0.883514993,1.151048871,0.970869422,1.070568843
CO,5/17/20,1.039948506,1.032756138,0.893696552,1.182708342,0.960024957,1.064720591
CO,5/18/20,1.049404758,1.041310829,0.889998174,1.201491833,0.975766293,1.086102709
CO,5/19/20,1.057992131,1.048488832,0.885565272,1.214236058,0.97498076,1.092343387
CO,5/20/20,1.065233363,1.054000428,0.886532667,1.232990565,0.988836223,1.115254469
CO,5/21/20,1.070782097,1.056984808,0.884543148,1.261235101,0.986578437,1.12275583
CO,5/22/20,1.074801365,1.06120265,0.881084011,1.297376064,0.969382233,1.117050369
CO,5/23/20,1.076796355,1.062796268,0.86506353,1.304462676,0.981148866,1.137598755
CO,5/24/20,1.077278587,1.062931009,0.852072407,1.321136241,0.977584489,1.142456484
CO,5/25/20,1.075743403,1.063479524,0.852457345,1.355128079,0.978194331,1.147646918
CT,4/7/20,0.999856562,1.000414306,0.879033531,1.110717578,0.968643393,1.038139536
CT,4/8/20,0.996630488,0.998083277,0.899708397,1.099786281,0.964198378,1.026267625
CT,4/9/20,0.991767583,0.992113914,0.903665308,1.081309307,0.969965919,1.026328263
CT,4/10/20,0.98554428,0.986756345,0.904520867,1.065896652,0.95318539,1.00784826
CT,4/11/20,0.978261824,0.981307719,0.906809939,1.061113005,0.95512014,1.009278126
CT,4/12/20,0.968987264,0.972968587,0.889198681,1.044064941,0.942755238,0.997520582
CT,4/13/20,0.957523207,0.962464362,0.874606307,1.037227507,0.940720483,0.997905248
CT,4/14/20,0.944654193,0.950392656,0.865182742,1.031481048,0.931515264,0.989727722
CT,4/15/20,0.930305726,0.938174014,0.841402012,1.009945836,0.922028422,0.981331359
CT,4/16/20,0.915929423,0.925857861,0.817819404,0.99192175,0.905595209,0.968841014
CT,4/17/20,0.901031719,0.913720849,0.808744155,0.989455088,0.896774042,0.962224788
CT,4/18/20,0.888270548,0.89994487,0.795779296,0.984296189,0.88073175,0.954193775
CT,4/19/20,0.876903991,0.890431592,0.783598517,0.980406776,0.866786596,0.948357824
CT,4/20/20,0.868600992,0.883011651,0.774117485,0.98778843,0.859771987,0.946805042
